Map name,Tier,Type,Stages/Cps,Bonuses
surf_pyzire_fix,4,Linear,4,4
surf_qlimax_q,4,Staged,6,0
surf_quarantine,4,Staged,15,2
surf_quartus_ksf,4,Linear,7,0
surf_quattro,4,Staged,4,0
surf_quickie_fix,4,Linear,3,5
surf_ragequit,4,Staged,6,0
surf_rands,4,Staged-Linear,8,3
surf_redemption_b1,4,Staged,4,0
surf_refraxis,4,Staged,8,2
surf_resource,4,Staged,4,4
surf_rez2,4,Staged,5,4
surf_rst,4,Staged,4,1
surf_rubiks_cube,4,Staged,5,2
surf_runewords,4,Staged,4,4
surf_runewords2,4,Staged,4,6
surf_runewords2_lod,4,Linear,5,6
surf_rustic_v2,4,Staged-Linear,2,1
surf_sacrifice,4,Staged,3,1
surf_sandman_v2,4,Staged,5,0
surf_savant_njv,4,Staged,7,1
surf_sc_colours,4,Staged,9,1
surf_sc_essence_v2,4,Staged,10,1
surf_secluded,4,Staged,5,4
surf_sempar_njv,4,Staged,6,1
surf_sensation_fix,4,Staged,4,0
surf_sentient,4,Linear,4,1
surf_serenity2,4,Staged,3,5
surf_sewers,4,Linear,5,0
surf_sexplizooimed,4,Staged,7,1
surf_sexyartz_njv,4,Linear,7,0
surf_sh,4,Staged,4,0
surf_shady_h,4,Linear,4,0
surf_shambles,4,Linear,4,3
surf_sippysip,4,Linear,5,2
surf_skill8,4,Linear,4,0
surf_sluice_final,4,Linear,6,5
surf_sluice2,4,Linear,7,4
surf_stonework,4,Staged,7,0
surf_sunday,4,Staged,3,3
surf_sunset,4,Staged,6,1
surf_sunset2_fix,4,Staged,6,1
surf_symbiosis,4,Linear,5,0
surf_synada,4,Linear,5,3
surf_taq,4,Staged,3,0
surf_techsune_css,4,Linear,4,1
surf_tensor,4,Staged,9,0
surf_tequila,4,Linear,3,4
surf_theme,4,Staged,9,3
surf_this_njv,4,Linear,3,0
surf_trapped2,4,Staged,6,2
surf_triggered_fix,4,Staged,5,0
surf_trihard,4,Staged,6,2
surf_tundra_v2,4,Staged,3,1
surf_ultimate_fix,4,Staged,5,0
surf_underworld,4,Linear,4,0
surf_unreal_njv,4,Linear,5,0
surf_vector_final,4,Staged,4,1
surf_vienna,4,Linear,3,5
surf_volcanic,4,Linear,4,1
surf_warped,4,Linear,4,3
surf_wazor_ksf,4,Staged,5,0
surf_whoknows2,4,Linear,6,1
surf_whoknows3,4,Linear,5,0
surf_x,4,Staged,8,0
surf_y,4,Staged,24,3
surf_zeonine,4,Staged,4,2
surf_acerbus,5,Staged,6,0
surf_again_njv,5,Linear,5,0
surf_android_ksf,5,Staged,7,3
surf_antimatter2,5,Staged,5,5
surf_aphelion,5,Linear,4,6
surf_assail,5,Linear,4,4
surf_brutalist,5,Staged,4,1
surf_castlewalls,5,Staged,6,2
surf_celestial,5,Linear,3,3
surf_cinnamon_fix,5,Linear,4,3
surf_clavius,5,Staged,6,0
surf_conserve,5,Linear,4,0
surf_core_refix,5,Staged,6,2
